Date,District,Cases
6/3/2020,Bagerhat,0
6/3/2020,Bandarban,0
6/3/2020,Barguna,3
6/3/2020,Barishal,7
6/3/2020,Bhola,2
6/3/2020,Bogura,1
6/3/2020,Brahmmanbaria,0
6/3/2020,Chandpur,25
6/3/2020,Chapai Nawabganj,0
6/3/2020,Chattogram,116
6/3/2020,Chuadanga,2
6/3/2020,Cox s Bazar,61
6/3/2020,Cumilla,53
6/3/2020,Dhaka,703
6/3/2020,Dinajpur,0
6/3/2020,Faridpur,34
6/3/2020,Feni,15
6/3/2020,Gaibandha,1
6/3/2020,Gazipur,22
6/3/2020,Gopalganj,25
6/3/2020,Habiganj,0
6/3/2020,Jamalpur,9
6/3/2020,Jashore,1
6/3/2020,Jhalakhati,4
6/3/2020,Jhenaidah,1
6/3/2020,Joypurhat,0
6/3/2020,Khagrachhari,0
6/3/2020,Khulna,23
6/3/2020,Kishoreganj,6
6/3/2020,Kurigram,1
6/3/2020,Kushtia,9
6/3/2020,Lakshmipur,0
6/3/2020,Lalmonirhat,3
6/3/2020,Madaripur,1
6/3/2020,Magura,3
6/3/2020,Manikganj,1
6/3/2020,Meherpur,1
6/3/2020,Moulvibazar,0
6/3/2020,Munshiganj,115
6/3/2020,Mymensing,6
6/3/2020,Naogaon,0
6/3/2020,Narail,0
6/3/2020,Narayanganj,76
6/3/2020,Narsingdi,4
6/3/2020,Natore,2
6/3/2020,Netrokona,5
6/3/2020,Nilphamari,0
6/3/2020,Noakhali,59
6/3/2020,Pabna,15
6/3/2020,Panchagarh,0
6/3/2020,Patuakhali,1
6/3/2020,Pirojpur,2
6/3/2020,Rajbari,0
6/3/2020,Rajshahi,1
6/3/2020,Rangamati,0
6/3/2020,Rangpur,10
6/3/2020,Satkhira,0
6/3/2020,Shariatpur,0
6/3/2020,Sherpur,14
6/3/2020,Sirajganj,1
6/3/2020,Sunamganj,27
6/3/2020,Sylhet,98
6/3/2020,Tangail,0
6/3/2020,Thakurgaon,0
6/2/2020,Bagerhat,5
6/2/2020,Bandarban,0
6/2/2020,Barguna,4
6/2/2020,Barishal,56
6/2/2020,Bhola,9
6/2/2020,Bogura,30
6/2/2020,Brahmmanbaria,5
6/2/2020,Chandpur,47
6/2/2020,Chapai Nawabganj,0
6/2/2020,Chattogram,200
6/2/2020,Chuadanga,2
6/2/2020,Cox s Bazar,89
6/2/2020,Cumilla,81
6/2/2020,Dhaka,1083
6/2/2020,Dinajpur,36
6/2/2020,Faridpur,17
6/2/2020,Feni,21
6/2/2020,Gaibandha,2
6/2/2020,Gazipur,43
6/2/2020,Gopalganj,6
6/2/2020,Habiganj,2
6/2/2020,Jamalpur,3
6/2/2020,Jashore,1
6/2/2020,Jhalakhati,0
6/2/2020,Jhenaidah,1
6/2/2020,Joypurhat,0
6/2/2020,Khagrachhari,0
6/2/2020,Khulna,18
